id,chain,host,location,year,subtype
ADR51662,A,swine,Italy,1999,H1N2
ADR51668,A,swine,Italy,2009,H1N2
ADR51669,A,swine,Italy,2008,H1N2
ADT64317,A,swine,Jangsu,2010,H1N1
ADT64860,A,avian,Victoria,1981,H1N1
ADT64868,A,avian,Victoria,1981,H5N2
ADT78908,A,,Netherlands,1953,H1N1
ADT78936,A,,Netherlands,1951,H1N1
ADT78961,A,,Netherlands,1960,H2N2
ADT79030,A,,Netherlands,1982,H3N2
ADT79129,A,,Nijmegen,1959,H2N2
ADT79161,A,swine,Italy,1981,H3N2
ADU25478,A,,Switzerland,2010,H1N1
ADU53614,A,avian,Interior Alaska,2008,H1N1
ADU85891,A,swine,Italy,2009,H1N2
ADU85893,A,swine,Italy,2009,H1N2
ADU85894,A,swine,Italy,1998,H1N2
ADV02479,A,swine,KU,2001,H7N2
ADV19281,A,swine,Guangdong,2010,H1N2
ADV58875,A,avian,BC,2005,H3N2
ADV58876,A,avian,QC,2008,H3N2
ADV58880,A,swine,QC,2009,H3N2
ADV69078,A,swine,Minnesota,2009,H1N2
ADV69079,A,swine,North Carolina,2009,H1N1
ADV69090,A,swine,Minnesota,2009,H1N1
ADV69091,A,swine,Indiana,2009,H1N2
ADV69097,A,swine,Iowa,2010,H1N2
ADV69106,A,swine,Minnesota,2010,H1N2
ADW01407,A,,Jiangsu,2011,H1N1
ADW10721,A,,Boston,2009,H1N1
ADW93789,A,swine,Costa Rica,2010,H1N1
ADX31845,A,swine,England,2010,H1N2
ADX31858,A,swine,England,2010,H1N1
ADX96236,A,swine,Hubei,2009,H1N1
ADY70986,A,swine,Hong Kong,2001,H1N1
ADY71223,A,swine,Hong Kong,2003,H1N2
ADY71438,A,swine,Hong Kong,2006,H1N2
ADY71526,A,swine,Hong Kong,2007,H1N1
ADY71612,A,swine,Hong Kong,2008,H1N1
ADY71787,A,swine,Hong Kong,2009,H1N1
ADY72576,A,swine,Hong Kong,2005,H1N2
ADY80044,A,swine,Indiana,2010,H1N2
ADZ05627,A,,LyonCHU,2003,
ADZ05628,A,,Reunion,2004,
AEA29580,A,swine,SK,2009,H1N1
AEA29582,A,swine,MB,2009,H1N1
AEA29595,A,swine,QC,2009,H1N1
AEA48985,A,,Fuzhou,2010,H1N1
AEA50985,A,,Bangladesh,2011,H5N1
AEA73584,A,,Boston,2009,H1N1
AEA92634,A,,South Dakota,2008,H1N1
AEB80459,A,swine,Thailand,2010,H1N1
AEF28999,A,swine,OH,2011,H1N1
AEF33066,A,swine,Illinois,2010,H1N2
AEF33067,A,swine,North Carolina,2010,H1N1
AEG64762,A,,United Kingdom,1933,H1N1
AEH42785,A,swine,Hubei,2009,H1N2
AEH59624,A,,Nanchang,2009,H1N1
AEI30055,A,swine,Korea,2008,H1N1
AEI30056,A,swine,Korea,2009,H1N1
AEI30057,A,swine,Korea,2009,H1N2
AEJ10440,A,,Sydney,2010,H1N1
AEJ82788,A,,Taiwan,2011,H1N1
AEJ82792,A,,Taiwan,2011,H1N1
AEJ82796,A,,Taiwan,2011,H1N1
AEK49444,A,avian,California,2008,H3N8
AEK49568,A,avian,California,2008,H10N7
AEK50870,A,avian,California,2009,H1N1
AEK79815,A,avian,Viet Nam,2008,H5N1
AEK85773,A,avian,Henan,2009,H9N2
AEK86047,A,swine,Guangdong,2010,H1N1
AEK86048,A,swine,Guangdong,2010,H1N1
AEL89681,A,,Bangkok,2010,H1N1
AEM63475,A,,Kol,2009,H1N1
