p_id,sero
AGG27706,H10N7
ABA46957,H3N1
CY041918,H5N1
AHH00837,H1N1
AEN68581,H1N2
CY092848,H1N1
AFN66856,H1N2
AGZ61259,H3N2
ABY40410,H1N2
AHY95100,H3N2
AAX35871,H3N2
ADG59060,H5N1
AHF20402,H5N1
AGG53443,H7N7
AHZ39510,H1N1
AAT08004,H3N2
ACI26560,H3N2
AGC13516,H3N2
AFU10184,H1N1
GU367325,H1N1
AGG82133,H3N8
BAI83396,H1N1
AHW46580,H1N2
ADV58875,H3N2
ACD88648,H3N2
AGK43532,H2N3
AGY14270,H9N2
ACY25803,H9N2
AHZ43660,H3N6
ABS53363,H1N2
ACF47464,H3N7
AFM08869,H5N2
ACZ48510,H5N1
AHZ65657,H1N2
ABQ42444,H1N2
AEP32455,H1N1
CAA29337,H3N2
ABI95261,H1N1
AFQ55689,H7N3
AGL04307,H1N1
AAD05217,H1N2
CY062478,H5N1
AGB84989,H1N2
AAW78047,H3N2
AAP71989,H5N2
ABB87844,H10N7
AAG10670,H7N7
ABD59853,H3N2
CCH23216,H1N1
AHC58029,H3N2
CY062606,H5N1
AHA57090,H1N1
JN807782,H5N1
ACQ65691,H3N2
AHI43541,H5N1
AFR76739,H1N1
AGQ47776,H1N1
AGF69039,H9N2
AGG25652,H3N8
AEX63617,H1N1
CY046699,H1N1
AFM72312,H3N2
ADV02479,H7N2
AHZ44189,H1N1
ACE77944,H3N2
AAA43243,H2N2
AET84295,H1N1
AGW25699,H9N7
ACY25797,H9N2
AFO64868,H1N1
ACV42106,H3N2
AAL87868,H1N2
ADM23851,H1N1
AGK24287,H3N2
ABS89365,H7N7
BAM37808,H1N1
AEF33066,H1N2
AHZ65637,H1N1
ACH95660,H3N8
AEN94876,H1N1
ADP05208,H1N2
AHG26890,H1N1
